Date,Close
19-Sep-03,29.96
18-Sep-03,29.5
17-Sep-03,28.5
16-Sep-03,28.9
15-Sep-03,28.36
12-Sep-03,28.34
11-Sep-03,27.84
10-Sep-03,27.55
9-Sep-03,28.37
8-Sep-03,28.84
5-Sep-03,28.38
4-Sep-03,28.43
3-Sep-03,28.3
2-Sep-03,27.26
29-Aug-03,26.52
28-Aug-03,26.51
27-Aug-03,26.42
26-Aug-03,26.57
25-Aug-03,26.5
22-Aug-03,26.22
21-Aug-03,26.24
20-Aug-03,26.45
19-Aug-03,26.62
18-Aug-03,25.7
15-Aug-03,25.54
14-Aug-03,25.63
13-Aug-03,25.6
12-Aug-03,25.73
11-Aug-03,25.61
8-Aug-03,25.58
7-Aug-03,25.71
6-Aug-03,25.65
5-Aug-03,25.66
4-Aug-03,26.18
1-Aug-03,26.17
31-Jul-03,26.41
30-Jul-03,26.23
29-Jul-03,26.47
28-Jul-03,26.61
25-Jul-03,26.89
24-Jul-03,26.0
23-Jul-03,26.45
22-Jul-03,26.38
21-Jul-03,26.04
18-Jul-03,26.89
17-Jul-03,26.69
16-Jul-03,27.52
15-Jul-03,27.27
14-Jul-03,27.4
11-Jul-03,27.31
10-Jul-03,26.91
9-Jul-03,27.47
8-Jul-03,27.7
7-Jul-03,27.42
3-Jul-03,26.5
2-Jul-03,26.88
1-Jul-03,26.15
30-Jun-03,25.64
27-Jun-03,25.63
26-Jun-03,25.75
25-Jun-03,25.26
24-Jun-03,25.7
23-Jun-03,25.78
20-Jun-03,26.33
19-Jun-03,26.07
